2025-12-30 20:14:45.098 [info] [CursorProclistService] Sample 94 created: 16 processes, 31 subsamples
2025-12-30 20:19:45.095 [info] [CursorProclistService] Sample 95 created: 15 processes, 31 subsamples
2025-12-30 20:24:45.094 [info] [CursorProclistService] Sample 96 created: 16 processes, 31 subsamples
2025-12-30 20:29:45.096 [info] [CursorProclistService] Sample 97 created: 15 processes, 31 subsamples
2025-12-30 20:34:45.095 [info] [CursorProclistService] Sample 98 created: 16 processes, 31 subsamples
2025-12-30 20:39:45.095 [info] [CursorProclistService] Sample 99 created: 15 processes, 31 subsamples
2025-12-30 20:44:45.095 [info] [CursorProclistService] Sample 100 created: 16 processes, 31 subsamples
2025-12-30 20:49:45.097 [info] [CursorProclistService] Sample 101 created: 15 processes, 31 subsamples
2025-12-30 20:54:45.094 [info] [CursorProclistService] Sample 102 created: 16 processes, 31 subsamples
2025-12-30 20:59:45.094 [info] [CursorProclistService] Sample 103 created: 15 processes, 31 subsamples
2025-12-30 21:04:45.094 [info] [CursorProclistService] Sample 104 created: 16 processes, 31 subsamples
2025-12-30 21:09:45.094 [info] [CursorProclistService] Sample 105 created: 15 processes, 31 subsamples
2025-12-30 21:14:45.098 [info] [CursorProclistService] Sample 106 created: 16 processes, 31 subsamples
2025-12-30 21:19:45.094 [info] [CursorProclistService] Sample 107 created: 15 processes, 31 subsamples
2025-12-30 21:24:45.097 [info] [CursorProclistService] Sample 108 created: 16 processes, 31 subsamples
2025-12-30 21:29:45.099 [info] [CursorProclistService] Sample 109 created: 15 processes, 31 subsamples
2025-12-30 21:34:45.097 [info] [CursorProclistService] Sample 110 created: 16 processes, 31 subsamples
2025-12-30 21:39:45.096 [info] [CursorProclistService] Sample 111 created: 15 processes, 31 subsamples
2025-12-30 21:44:45.097 [info] [CursorProclistService] Sample 112 created: 16 processes, 31 subsamples
2025-12-30 21:49:45.098 [info] [CursorProclistService] Sample 113 created: 15 processes, 31 subsamples
2025-12-30 21:54:45.097 [info] [CursorProclistService] Sample 114 created: 16 processes, 31 subsamples
2025-12-30 21:59:45.098 [info] [CursorProclistService] Sample 115 created: 15 processes, 31 subsamples
2025-12-30 22:04:45.100 [info] [CursorProclistService] Sample 116 created: 16 processes, 31 subsamples
2025-12-30 22:09:45.117 [info] [CursorProclistService] Sample 117 created: 15 processes, 31 subsamples
2025-12-30 22:14:45.100 [info] [CursorProclistService] Sample 118 created: 16 processes, 31 subsamples
2025-12-30 22:19:45.098 [info] [CursorProclistService] Sample 119 created: 15 processes, 31 subsamples
2025-12-30 22:24:45.097 [info] [CursorProclistService] Sample 120 created: 16 processes, 31 subsamples
2025-12-30 22:29:45.095 [info] [CursorProclistService] Sample 121 created: 15 processes, 31 subsamples
2025-12-30 22:34:45.094 [info] [CursorProclistService] Sample 122 created: 16 processes, 31 subsamples
